district_code,district_name,category,student_group,2021_2022_student_count_year_to_date,2021_2022_attendance_rate_year_to_date,2020_2021_student_count,2020_2021_attendance_rate,2019_2020_student_count,2019_2020_attendance_rate,reporting_period,date_update,attendance_cluster,risk_label
00000CT,Connecticut,Unknown,All Students,0.9999999999999999,0.7937819756001572,0.9999999999999999,0.8023952095808387,0.9999999999999999,0.7552841709722884,Jun-22,2022-07-22,0,Medium Risk
00000CT,Connecticut,Homelessness,Students Experiencing Homelessness,0.0035860993673353125,0.4706808343171982,0.0034571594445967522,0.42348636061210954,0.0076643728630839255,0.47581023954908463,Jun-22,2022-07-22,2,High Risk
00000CT,Connecticut,Students With Disabilities,Students With Disabilities,0.15671094320010395,0.6875245966155052,0.1541449628279766,0.6866267465069864,0.15805801788615967,0.660403945514326,Jun-22,2022-07-22,0,Medium Risk
00000CT,Connecticut,Free/Reduced Lunch,Free Meal Eligible,0.33774899303369216,0.6686343959071235,0.3552004547726943,0.6583499667332005,0.3810271361291769,0.6777829967120717,Jun-22,2022-07-22,0,Medium Risk
00000CT,Connecticut,Free/Reduced Lunch,Reduced Price Meal Eligible,0.05973833868049933,0.7996851633215272,0.06222080665709816,0.8040585495675319,0.05407356696293323,0.7736026303428849,Jun-22,2022-07-22,0,Medium Risk
00000CT,Connecticut,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,0.39752731052542156,0.6883116883116887,0.4174615781580093,0.6803060545575517,0.4351400479220027,0.6899953029591366,Jun-22,2022-07-22,0,Medium Risk
00000CT,Connecticut,English Learners,English Learners,0.08705586039399119,0.717827626918536,0.0818409424438388,0.687292082501664,0.08929899316580305,0.7130108031939884,Jun-22,2022-07-22,0,Medium Risk
00000CT,Connecticut,Race/Ethnicity,All other races,0.09730842653393701,0.8508461235733962,0.0953873631247077,0.8652694610778444,0.09293248820638723,0.7928604978863323,Jun-22,2022-07-22,1,Low Risk
00000CT,Connecticut,Race/Ethnicity,Black or African American,0.12609117167901013,0.7040535222353403,0.1254797690657808,0.6816367265469068,0.12625755912544312,0.7186472522310945,Jun-22,2022-07-22,0,Medium Risk
00000CT,Connecticut,Race/Ethnicity,Hispanic/Latino of any race,0.29240102745544866,0.7016922471467923,0.2786692254350175,0.6962741184298076,0.26938027958436117,0.700328792860498,Jun-22,2022-07-22,0,Medium Risk
00000CT,Connecticut,Race/Ethnicity,White,0.48407943789791413,0.8602912239275873,0.5003426921898434,0.878576180971391,0.5113116385941304,0.7853452325035235,Jun-22,2022-07-22,1,Low Risk
00000CT,Connecticut,High Needs,Students Without High Needs,0.48191658421036854,0.8839039748130659,0.47649333161315294,0.9095143047238858,0.47526587268799936,0.8149365899483332,Jun-22,2022-07-22,1,Low Risk
00000CT,Connecticut,High Needs,Students With High Needs,0.49617502723556517,0.7091696182605274,0.506378106403909,0.703260146373919,0.5246947824821079,0.6998590887740725,Jun-22,2022-07-22,0,Medium Risk
10011,Andover School District,Unknown,All Students,0.00028185061917183896,0.8791814246359699,0.0002499637149446048,0.9308050565535599,0.0002714793262591329,0.7660873649600752,Jun-22,2022-07-22,1,Low Risk
10011,Andover School District,Students With Disabilities,Students With Disabilities,5.996821684507207e-06,0.8512396694214877,0.0006692576884000709,0.8356620093147042,0.0006767310741532008,0.7595115077501173,Jun-22,2022-07-22,1,Low Risk
10011,Andover School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,1.9989405615024032e-05,0.835104289649744,2.2174200519279452e-05,0.8423153692614775,3.344310540873376e-05,0.7186472522310945,Jun-22,2022-07-22,1,Low Risk
10011,Andover School District,Race/Ethnicity,White,0.00022787922401127405,0.8709169618260528,0.00019150445903014078,0.9371257485029942,0.00021246208142019097,0.7552841709722884,Jun-22,2022-07-22,1,Low Risk
10011,Andover School District,High Needs,Students Without High Needs,0.00018590147221972354,0.888626524990161,0.00016126691286748698,0.9547571523619429,0.00017311725152756302,0.7895725692813524,Jun-22,2022-07-22,1,Low Risk
10011,Andover School District,High Needs,Students With High Needs,5.59703357220673e-05,0.8563557654466742,4.838007386024609e-05,0.8752495009980041,5.901724483894194e-05,0.7130108031939884,Jun-22,2022-07-22,1,Low Risk
20011,Ansonia School District,Unknown,All Students,0.004235755049823594,0.7449822904368357,0.004299779064329372,0.6789753825681974,0.004259077835876976,0.7242837012682006,Jun-22,2022-07-22,0,Medium Risk
20011,Ansonia School District,Students With Disabilities,Students With Disabilities,0.0006976302559643389,0.6867375049193232,0.0007539228176555015,0.602129075182968,0.0007691914244008764,0.6885861906998594,Jun-22,2022-07-22,0,Medium Risk
20011,Ansonia School District,Free/Reduced Lunch,Free Meal Eligible,0.002342758338080817,0.6851633215269581,0.002412956183779774,0.5904856952761146,0.002541676011063766,0.6768435885392208,Jun-22,2022-07-22,0,Medium Risk
20011,Ansonia School District,Free/Reduced Lunch,Reduced Price Meal Eligible,0.0004097828151079928,0.8382526564344741,0.0003890564272928123,0.7824351297405197,0.00024983966981818753,0.794739314232034,Jun-22,2022-07-22,1,Low Risk
20011,Ansonia School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,0.002792519964418858,0.7087760724124359,0.002842329339289458,0.6190951430472396,0.0028308605107745816,0.6890558947862848,Jun-22,2022-07-22,0,Medium Risk
20011,Ansonia School District,English Learners,English Learners,0.00020389193727324517,0.7981109799291617,0.00019956780467351513,0.6882900864936801,0.00021442932291482235,0.7679661813057779,Jun-22,2022-07-22,0,Medium Risk
20011,Ansonia School District,Race/Ethnicity,All other races,0.0002578633324338101,0.8024399842581658,0.00029431211598316374,0.7395209580838324,0.0002950862241947097,0.7421324565523726,Jun-22,2022-07-22,0,Medium Risk
20011,Ansonia School District,Race/Ethnicity,Black or African American,0.0008275613924619952,0.7221566312475405,0.0008083504007482784,0.6024617431803065,0.0008144379787773986,0.724753405354627,Jun-22,2022-07-22,0,Medium Risk
20011,Ansonia School District,Race/Ethnicity,Hispanic/Latino of any race,0.001932975522972824,0.7249114521841795,0.0018666645164411618,0.6373918829008653,0.0017764190696521523,0.7022076092061997,Jun-22,2022-07-22,0,Medium Risk
20011,Ansonia School District,Race/Ethnicity,White,0.0010974183682648196,0.7807949626131445,0.0012095018465061525,0.776779773785762,0.0012551000735748319,0.7501174260216068,Jun-22,2022-07-22,0,Medium Risk
20011,Ansonia School District,High Needs,Students Without High Needs,0.001015461805243221,0.8402203856749311,0.001070409134157945,0.833998669328011,0.0011154259274560026,0.7970878346641621,Jun-22,2022-07-22,1,Low Risk
